period,label,start,end,orderSubtotal,band,orders,orderSharePct,subtotal,subtotalSharePct,shippingCollected,newlyEligibleOrders,newlyEligiblePaidShippingOrders,newlyEligibleSubtotal,forgoneShippingRevenue,newlyEligibleShippingCostKnownOrders,newlyEligibleShippingCostMissingOrders,shippingCostCoveragePct,newlyEligibleCarrierCostKnown,newlyEligibleCarrierCostEstimated,estimatedCarrierCostPctOfForgoneShippingRevenue,estimatedCarrierCostPctOfNewlyEligibleSubtotal,avgForgoneShippingPerNewlyEligiblePaidOrder,avgEstimatedCarrierCostPerNewlyEligiblePaidOrder
previous_3_months,Previous 3 months,2026-03-29,2026-06-28,Under $250,under_250,1154,43.6,147711.74,11,28567.23,0,0,0,0,0,0,,0,0,,,0,0
previous_3_months,Previous 3 months,2026-03-29,2026-06-28,$250-$299.99,newly_eligible_250_to_299,167,6.3,45646.93,3.4,3124.95,167,91,45646.93,3124.95,75,16,82.4,2310.87,2803.86,89.7,6.1,34.34,30.81
previous_3_months,Previous 3 months,2026-03-29,2026-06-28,$300-$349.99,newly_eligible_300_to_349,110,4.2,35544.04,2.6,2860,110,82,35544.04,2860,70,12,85.4,1791.55,2098.67,73.4,5.9,34.88,25.59
previous_3_months,Previous 3 months,2026-03-29,2026-06-28,$350+,already_eligible_350_plus,1215,45.9,1119185.03,83,1763.71,0,0,0,0,0,0,,0,0,,,0,0
previous_6_months,Previous 6 months,2025-12-29,2026-06-28,Under $250,under_250,1802,42.4,229115.54,10.3,44638.73,0,0,0,0,0,0,,0,0,,,0,0
previous_6_months,Previous 6 months,2025-12-29,2026-06-28,$250-$299.99,newly_eligible_250_to_299,250,5.9,68521.21,3.1,4999.95,250,146,68521.21,4999.95,128,18,87.7,3791.95,4325.19,86.5,6.3,34.25,29.62
previous_6_months,Previous 6 months,2025-12-29,2026-06-28,$300-$349.99,newly_eligible_300_to_349,176,4.1,56866.75,2.5,4465,176,128,56866.75,4465,111,17,86.7,2922.56,3370.16,75.5,5.9,34.88,26.33
previous_6_months,Previous 6 months,2025-12-29,2026-06-28,$350+,already_eligible_350_plus,2021,47.6,1876328.48,84.1,3905.82,0,0,0,0,0,0,,0,0,,,0,0
