period,label,start,end,totalOrders,totalSubtotal,totalShippingCollected,newlyEligibleOrders,newlyEligibleOrderSharePct,newlyEligiblePaidShippingOrders,newlyEligiblePaidShippingOrderSharePct,newlyEligibleSubtotal,newlyEligibleSubtotalSharePct,forgoneShippingRevenue,forgoneShippingRevenueSharePct,newlyEligibleShippingCostKnownOrders,newlyEligibleShippingCostMissingOrders,shippingCostCoveragePct,newlyEligibleCarrierCostKnown,newlyEligibleCarrierCostEstimated,estimatedCarrierCostPctOfForgoneShippingRevenue,estimatedCarrierCostPctOfNewlyEligibleSubtotal,avgForgoneShippingPerNewlyEligiblePaidOrder,avgEstimatedCarrierCostPerNewlyEligiblePaidOrder,currentFreeShippingOrderSharePct,simulatedFreeShippingOrderSharePct,monthlyAvgNewlyEligibleOrders,monthlyAvgForgoneShippingRevenue,annualizedForgoneShippingRevenue,monthlyAvgEstimatedCarrierCostAbsorbed,annualizedEstimatedCarrierCostAbsorbed,forgoneShippingPctOfNewlyEligibleSubtotal,freeShippingOrderShareIncreasePctPoints
previous_3_months,Previous 3 months,2026-03-29,2026-06-28,2646,1348087.74,36315.89,277,10.5,173,6.5,81190.97,6,5984.95,16.5,145,28,83.8,4102.42,4894.61,81.8,6,34.6,28.29,51.6,58.2,92.3,1994.98,23939.76,1631.54,19578.48,7.4,6.6
previous_6_months,Previous 6 months,2025-12-29,2026-06-28,4249,2230831.98,58009.5,426,10,274,6.4,125387.96,5.6,9464.95,16.3,239,35,87.2,6714.51,7697.81,81.3,6.1,34.54,28.09,52.6,59.1,71,1577.49,18929.88,1282.97,15395.64,7.5,6.5
